table_name,n_vectors,log2_1p_n,ef_search,topk,query_count,mean_latency_ms,median_latency_ms,p95_latency_ms
veda_cost_train_moredata_n1000,1000,9.967226258835993,1,1,500,0.17120000000000002,0.126,0.32509999999999994
veda_cost_train_moredata_n3000,3000,11.551227603598289,1,1,500,0.30303800000000003,0.299,0.44909999999999994
veda_cost_train_moredata_n5000,5000,12.288000889707574,1,1,500,0.31603,0.336,0.4770999999999999
veda_cost_train_moredata_n10000,10000,13.287856641840545,1,1,500,0.39801400000000003,0.3845,0.575
veda_cost_train_moredata_n20000,20000,14.287784512498185,1,1,500,0.413168,0.4075,0.5940999999999999
veda_cost_train_moredata_n50000,50000,15.609669328049094,1,1,500,0.5699679999999999,0.547,0.8751499999999999
veda_cost_train_moredata_n80000,80000,16.287730413124752,1,1,500,0.61745,0.5785,1.042
veda_cost_train_moredata_n100000,100000,16.609654901315086,1,1,500,0.6420399999999999,0.6125,0.9531499999999998
veda_cost_train_moredata_n200000,200000,17.609647687893982,1,1,500,0.860696,0.8254999999999999,1.2890499999999998
veda_cost_train_moredata_n300000,300000,18.19460778413342,1,1,500,0.916798,0.883,1.3662999999999998
veda_cost_train_moredata_n500000,500000,18.93157145471137,1,1,500,1.017446,1.001,1.519099999999999
veda_cost_train_moredata_n800000,800000,19.609642277804486,1,1,500,1.109046,1.0859999999999999,1.6181999999999999
veda_cost_train_moredata_n1000000,1000000,19.931570012018494,1,1,500,1.0496759999999998,1.032,1.6121999999999999
