table_name,n_vectors,log2_1p_n,ef_search,topk,query_count,mean_latency_ms,median_latency_ms,p95_latency_ms
veda_cost_train_moredata_300k_n1000,1000,9.967226258835993,1,1,500,0.23991,0.264,0.36214999999999986
veda_cost_train_moredata_300k_n3000,3000,11.551227603598289,1,1,500,0.091072,0.087,0.13509999999999991
veda_cost_train_moredata_300k_n5000,5000,12.288000889707574,1,1,500,0.219814,0.154,0.481
veda_cost_train_moredata_300k_n10000,10000,13.287856641840545,1,1,500,0.446636,0.4365,0.60205
veda_cost_train_moredata_300k_n20000,20000,14.287784512498185,1,1,500,0.5045080000000001,0.486,0.7371999999999999
veda_cost_train_moredata_300k_n50000,50000,15.609669328049094,1,1,500,0.6401479999999999,0.584,1.1011
veda_cost_train_moredata_300k_n80000,80000,16.287730413124752,1,1,500,0.6994,0.6335,1.2621499999999999
veda_cost_train_moredata_300k_n100000,100000,16.609654901315086,1,1,500,0.759812,0.716,1.171
veda_cost_train_moredata_300k_n200000,200000,17.609647687893982,1,1,500,0.9720319999999999,0.935,1.4792499999999988
veda_cost_train_moredata_300k_n300000,300000,18.19460778413342,1,1,500,1.0773020000000002,1.0459999999999998,1.609149999999999
